# index,name,description,samle data
1,conf-name,configuratoin name是拓樸的名字，標示拓樸關鍵字,"2-1_ptf32 , 2-1_ptf64 , 2-1_t0 , 2-1_t0-64 , 2-1_t0-64-32 , 2-1_t1 , 2-1_t1-8vm , 2-1_t1-lag , 2-1_t1-8vm-lag , 2-1_t1-64-lag , 2-2_ptf32 , 2-2_t0 , 2-2_t0-56 , 2-2_t1 , 2-2_t1-8vm , 2-2_t1-lag , 2-2_t1-8vm-lag , 2-3_ptf32 , 2-3_t0 , 2-3_t0-16 , 2-3_t1 , 2-3_t1-8vm , 2-3_t1-lag , 2-3_t1-8vm-lag , 2-4_ptf32 , 2-4_t0 , 2-4_t1 , 2-4_t1-8vm , 2-4_t1-lag , 2-4_t1-8vm-lag , 2-4_t0-mclag , 2-4_t0-mclag-dut2 , 2-4_t0-mclag-16 , 2-4_t0-mclag-16-dut2 , 2-5_ptf32 , 2-5_ptf64 , 2-5_t0 , 2-5_t0-64 , 2-5_t0-64-32 , 2-5_t0-116 , 2-5_t1 , 2-5_t1-8vm , 2-5_t1-lag , 2-5_t1-8vm-lag , 2-5_t1-64-lag , 2-6_ptf32 , 2-6_t0 , 2-6_t1 , 2-6_t1-8vm , 2-6_t1-lag , 2-6_t1-8vm-lag , 2-7_ptf32 , 2-7_t0 , 2-7_t0-16 , 2-7_t1 , 2-7_t1-8vm , 2-7_t1-lag , 2-7_t1-8vm-lag , 2-8_ptf32 , 2-8_t0 , 2-8_t1 , 2-8_t1-8vm , 2-8_t1-lag , 2-8_t1-8vm-lag , 2-9_ptf32 , 2-9_t0 , 2-9_t1 , 2-9_t1-8vm , 2-9_t1-lag , 2-9_t1-8vm-lag , 2-9_t0-mclag , 2-9_t0-mclag-dut2 , 2-9_t0-mclag-16 , 2-9_t0-mclag-16-dut2 , 2-10_ptf32 , 2-10_ptf64 , 2-10_t0 , 2-10_t0-64 , 2-10_t0-64-32 , 2-10_t1 , 2-10_t1-8vm , 2-10_t1-lag , 2-10_t1-8vm-lag , 2-10_t1-64-lag , 2-11_ptf32 , 2-11_t0 , 2-11_t0-56 , 2-11_t1 , 2-11_t1-8vm , 2-11_t1-lag , 2-11_t1-8vm-lag , 2-12_ptf32 , 2-12_t0 , 2-12_t1 , 2-12_t1-8vm , 2-12_t1-lag , 2-12_t1-8vm-lag , 2-12_t0-mclag , 2-12_t0-mclag-dut2 , 2-12_t0-mclag-16 , 2-12_t0-mclag-16-dut2 , 2-13_ptf32 , 2-13_t0 , 2-13_t0-16 , 2-13_t1 , 2-13_t1-8vm , 2-13_t1-lag , 2-13_t1-8vm-lag , 2-14_ptf32 , 2-14_ptf64 , 2-14_t0 , 2-14_t0-64 , 2-14_t0-64-32 , 2-14_t0-116 , 2-14_t1 , 2-14_t1-8vm , 2-14_t1-lag , 2-14_t1-8vm-lag , 2-14_t1-64-lag , 2-15_ptf32 , 2-15_t0 , 2-15_t0-16 , 2-15_t1 , 2-15_t1-8vm , 2-15_t1-lag , 2-15_t1-8vm-lag , 2-16_ptf32 , 2-16_t0 , 2-16_t1 , 2-16_t1-8vm , 2-16_t1-lag , 2-16_t1-8vm-lag , 2-17_ptf32 , 2-17_t0 , 2-17_t1 , 2-17_t1-8vm , 2-17_t1-lag , 2-17_t1-8vm-lag , 2-18_ptf32 , 2-18_t0 , 2-18_t1 , 2-18_t1-8vm , 2-18_t1-lag , 2-18_t1-8vm-lag , 2-19_ptf32 , 2-19_t0 , 2-19_t1 , 2-19_t1-8vm , 2-19_t1-lag , 2-19_t1-8vm-lag , 2-20_ptf32 , 2-20_t0 , 2-20_t0-16 , 2-20_t1 , 2-20_t1-8vm , 2-20_t1-lag , 2-20_t1-8vm-lag , 2-21_ptf32 , 2-21_t0 , 2-21_t0-16 , 2-21_t1 , 2-21_t1-8vm , 2-21_t1-lag , 2-21_t1-8vm-lag , 2-22_ptf32 , 2-22_t0 , 2-22_t0-16 , 2-22_t1 , 2-22_t1-8vm , 2-22_t1-lag , 2-22_t1-8vm-lag , 2-23_ptf32 , 2-23_t0 , 2-23_t0-16 , 2-23_t1 , 2-23_t1-8vm , 2-23_t1-lag , 2-23_t1-8vm-lag"
2,group-name,group name是internal name，表示用vm還是ptf還是其他的,"vms2-7 , vms2-8"
3,topo,topo是指定部署的拓樸,"t1 , t1-8vm , t1-lag , t1-8vm-lag , t1-64-lag , t0 , t0-16 , t0-56 , t0-52 , ptf32 , ptf64 , t0-64 , t0-64-32 , t0-116 , t0-mclag , t0-mclag-16"
4,ptf_image_name,指定ptf docker類型,docker-ptf
5,ptf,python test frame,"ptf2-7 , ptf2-8"
6,ptf_ip,指定容器的管理IP,10.250.128.192/16
7,ptf_ipv6,pytest frame Internet Protocol version 6,FC00:2::10:250:128:192/64
8,server,指定servre名稱，與ansible/veos中定義的server名稱匹配,"server_1 , servre_2"
9,vm_base,指定vm編號,"VM0200 , VM0232"
10,dut,指定連接到測試平台的DUT名稱,"as5812-54x , as7926"
11,comment,註釋字段,Tests vms

