Hostname,ManagementIp,HwSku,Type
as7816-64x,10.250.0.196/16,Accton-AS7816-64X,DevSonic
as7816-64x-3,10.250.0.183/16,Accton-AS7816-64X,DevSonic
as7326-56x,10.250.0.193/16,Accton-AS7326-56X,DevSonic
as7326-56x-3,10.250.0.182/16,Accton-AS7326-56X,DevSonic
as7726-32x-1,10.250.0.191/16,Accton-AS7726-32X,DevSonic
as7726-32x-2,10.250.0.197/16,Accton-AS7726-32X,DevSonic
as7726-32x-3,10.250.0.181/16,Accton-AS7726-32X,DevSonic
as5835-54x,10.250.0.190/16,Accton-AS5835-54X,DevSonic
as5835-54x-3,10.250.0.185/16,Accton-AS5835-54X,DevSonic
as8000,10.250.0.195/16,Accton-MINIPACK,DevSonic
as8000-3,10.250.0.186/16,Accton-MINIPACK,DevSonic
as7712-32x,10.250.0.194/16,Accton-AS7712-32X,DevSonic
as7926,10.250.0.198/16,Accton-AS7926-40XKE,DevSonic
as5812-54x,10.250.0.192/16,Accton-AS5812-54X,DevSonic
as5812-54x-3,10.250.0.184/16,Accton-AS5812-54X,DevSonic
wedge100bf-32x-1,10.250.0.175/16,montara,DevSonic
wedge100bf-32x-2,10.250.0.176/16,montara,DevSonic
as9716-32d-1,10.250.0.177/16,Accton-AS9716-32D-100G,DevSonic
as9716-32d-2,10.250.0.178/16,Accton-AS9716-32D-100G,DevSonic
as4630-54pe-1,10.250.0.179/16,Accton-AS4630-54PE,DevSonic
as4630-54pe-2,10.250.0.180/16,Accton-AS4630-54PE,DevSonic
as5835-54t-1,10.250.0.173/16,Accton-AS5835-54T,DevSonic
as5835-54t-2,10.250.0.174/16,Accton-AS5835-54T,DevSonic
str-aos7710-08,10.250.0.253/16,aos,FanoutLeaf
str-aos7710-09,10.250.0.252/16,aos,FanoutLeaf
str-aos7710-10,10.250.0.251/16,aos,FanoutLeaf
str-aos7710-11,10.250.0.250/16,aos,FanoutRoot
str-aos7710-23,10.250.2.62/16,aos,FanoutLeaf
str-aos7710-24,10.250.2.63/16,aos,FanoutLeaf
str-aos7710-25,10.250.2.64/16,aos,FanoutLeaf
str-aos7710-26,10.250.2.65/16,aos,FanoutLeaf
str-aos7710-27,10.250.2.66/16,aos,FanoutLeaf
str-aos7710-28,10.250.2.67/16,aos,FanoutLeaf
str-aos7710-29,10.250.2.68/16,aos,FanoutLeaf
str-aos7710-30,10.250.2.69/16,aos,FanoutLeaf
str-aos7710-31,10.250.2.70/16,aos,FanoutLeaf
str-aos7710-40,10.250.3.60/16,aos,FanoutRoot
str-aos7710-41,10.250.3.61/16,aos,FanoutLeaf
str-aos7710-42,10.250.3.62/16,aos,FanoutLeaf
str-aos7710-43,10.250.3.63/16,aos,FanoutLeaf
str-aos7710-44,10.250.3.64/16,aos,FanoutLeaf
str-aos7710-45,10.250.3.67/16,aos,FanoutLeaf
str-aos7710-46,10.250.3.68/16,aos,FanoutLeaf
str-aos7710-47,10.250.3.69/16,aos,FanoutLeaf
str-aos7710-48,10.250.3.70/16,aos,FanoutLeaf
str-aos7710-49,10.250.3.65/16,aos,FanoutLeaf
str-aos7710-52,10.250.3.66/16,aos,FanoutLeaf
str-aos7710-53,10.250.3.73/16,aos,FanoutLeaf
str-aos7710-50,10.250.3.71/16,aos,FanoutLeaf
str-aos7710-51,10.250.3.72/16,aos,FanoutLeaf
str-aos7710-54,10.250.5.60/16,aos,FanoutRoot
str-aos7710-55,10.250.5.61/16,aos,FanoutLeaf
str-aos7710-56,10.250.5.62/16,aos,FanoutLeaf
str-aos7710-57,10.250.5.63/16,aos,FanoutLeaf
str-aos7710-58,10.250.5.64/16,aos,FanoutLeaf
str-ecs4120-01,10.250.5.65/16,ecs,FanoutLeaf
str-ecs4120-02,10.250.5.66/16,ecs,FanoutLeaf
str-as5812-54t-01,10.250.5.67/16,aos,FanoutLeaf
str-as5812-54t-02,10.250.5.68/16,aos,FanoutLeaf
str-aos7710-59,10.250.5.69/16,aos,FanoutLeaf
str-acs-serv-02-1,10.250.2.44/16,TestServ,Server
