StartDevice,StartPort,EndDevice,EndPort,BandWidth,VlanID,VlanMode

str-aos7710-11,Ethernet 1/2,str-acs-serv-02-1,ens2f0,100000,,Trunk
str-aos7710-11,Ethernet 1/4,str-acs-serv-02-2,ens4f0,100000,,Trunk



as7816-64x,Ethernet0,str-aos7710-10,Ethernet 1/1,100000,1681,Access
as7816-64x,Ethernet4,str-aos7710-10,Ethernet 1/2,100000,1682,Access
as7816-64x,Ethernet8,str-aos7710-10,Ethernet 1/3,100000,1683,Access
as7816-64x,Ethernet12,str-aos7710-10,Ethernet 1/4,100000,1684,Access
as7816-64x,Ethernet16,str-aos7710-10,Ethernet 1/5,100000,1685,Access
as7816-64x,Ethernet20,str-aos7710-10,Ethernet 1/6,100000,1686,Access
as7816-64x,Ethernet24,str-aos7710-10,Ethernet 1/7,100000,1687,Access
as7816-64x,Ethernet28,str-aos7710-10,Ethernet 1/8,100000,1688,Access
as7816-64x,Ethernet32,str-aos7710-10,Ethernet 1/9,100000,1689,Access
as7816-64x,Ethernet36,str-aos7710-10,Ethernet 1/10,100000,1690,Access
as7816-64x,Ethernet40,str-aos7710-10,Ethernet 1/11,100000,1691,Access
as7816-64x,Ethernet44,str-aos7710-10,Ethernet 1/12,100000,1692,Access
as7816-64x,Ethernet48,str-aos7710-10,Ethernet 1/13,100000,1693,Access
as7816-64x,Ethernet52,str-aos7710-10,Ethernet 1/14,100000,1694,Access
as7816-64x,Ethernet56,str-aos7710-10,Ethernet 1/15,100000,1695,Access
as7816-64x,Ethernet60,str-aos7710-10,Ethernet 1/16,100000,1696,Access
as7816-64x,Ethernet64,str-aos7710-10,Ethernet 1/17,100000,1697,Access
as7816-64x,Ethernet68,str-aos7710-10,Ethernet 1/18,100000,1698,Access
as7816-64x,Ethernet72,str-aos7710-10,Ethernet 1/19,100000,1699,Access
as7816-64x,Ethernet76,str-aos7710-10,Ethernet 1/20,100000,1700,Access
as7816-64x,Ethernet80,str-aos7710-10,Ethernet 1/21,100000,1701,Access
as7816-64x,Ethernet84,str-aos7710-10,Ethernet 1/22,100000,1702,Access
as7816-64x,Ethernet88,str-aos7710-10,Ethernet 1/23,100000,1703,Access
as7816-64x,Ethernet92,str-aos7710-10,Ethernet 1/24,100000,1704,Access
as7816-64x,Ethernet96,str-aos7710-11,Ethernet 1/25,100000,1705,Access
as7816-64x,Ethernet100,str-aos7710-10,Ethernet 1/26,100000,1706,Access
as7816-64x,Ethernet104,str-aos7710-10,Ethernet 1/27,100000,1707,Access
as7816-64x,Ethernet108,str-aos7710-10,Ethernet 1/28,100000,1708,Access
as7816-64x,Ethernet112,str-aos7710-10,Ethernet 1/29,100000,1709,Access
as7816-64x,Ethernet116,str-aos7710-10,Ethernet 1/30,100000,1710,Access
as7816-64x,Ethernet120,str-aos7710-10,Ethernet 1/31,100000,1711,Access
as7816-64x,Ethernet124,str-aos7710-10,Ethernet 1/32,100000,1712,Access
as7816-64x,Ethernet128,str-aos7710-09,Ethernet 1/1,100000,1713,Access
as7816-64x,Ethernet132,str-aos7710-09,Ethernet 1/2,100000,1714,Access
as7816-64x,Ethernet136,str-aos7710-09,Ethernet 1/3,100000,1715,Access
as7816-64x,Ethernet140,str-aos7710-09,Ethernet 1/4,100000,1716,Access
as7816-64x,Ethernet144,str-aos7710-09,Ethernet 1/5,100000,1717,Access
as7816-64x,Ethernet148,str-aos7710-09,Ethernet 1/6,100000,1718,Access
as7816-64x,Ethernet152,str-aos7710-09,Ethernet 1/7,100000,1719,Access
as7816-64x,Ethernet156,str-aos7710-09,Ethernet 1/8,100000,1720,Access
as7816-64x,Ethernet160,str-aos7710-09,Ethernet 1/9,100000,1721,Access
as7816-64x,Ethernet164,str-aos7710-09,Ethernet 1/10,100000,1722,Access
as7816-64x,Ethernet168,str-aos7710-09,Ethernet 1/11,100000,1723,Access
as7816-64x,Ethernet172,str-aos7710-09,Ethernet 1/12,100000,1724,Access
as7816-64x,Ethernet176,str-aos7710-09,Ethernet 1/13,100000,1725,Access
as7816-64x,Ethernet180,str-aos7710-09,Ethernet 1/14,100000,1726,Access
as7816-64x,Ethernet184,str-aos7710-09,Ethernet 1/15,100000,1727,Access
as7816-64x,Ethernet188,str-aos7710-09,Ethernet 1/16,100000,1728,Access
as7816-64x,Ethernet192,str-aos7710-09,Ethernet 1/17,100000,1729,Access
as7816-64x,Ethernet196,str-aos7710-09,Ethernet 1/18,100000,1730,Access
as7816-64x,Ethernet200,str-aos7710-09,Ethernet 1/19,100000,1731,Access
as7816-64x,Ethernet204,str-aos7710-09,Ethernet 1/20,100000,1732,Access
as7816-64x,Ethernet208,str-aos7710-09,Ethernet 1/21,100000,1733,Access
as7816-64x,Ethernet212,str-aos7710-09,Ethernet 1/22,100000,1734,Access
as7816-64x,Ethernet216,str-aos7710-09,Ethernet 1/23,100000,1735,Access
as7816-64x,Ethernet220,str-aos7710-09,Ethernet 1/24,100000,1736,Access
as7816-64x,Ethernet224,str-aos7710-11,Ethernet 1/27,100000,1737,Access
as7816-64x,Ethernet228,str-aos7710-09,Ethernet 1/26,100000,1738,Access
as7816-64x,Ethernet232,str-aos7710-09,Ethernet 1/27,100000,1739,Access
as7816-64x,Ethernet236,str-aos7710-09,Ethernet 1/28,100000,1740,Access
as7816-64x,Ethernet240,str-aos7710-09,Ethernet 1/29,100000,1741,Access
as7816-64x,Ethernet244,str-aos7710-09,Ethernet 1/30,100000,1742,Access
as7816-64x,Ethernet248,str-aos7710-09,Ethernet 1/31,100000,1743,Access
as7816-64x,Ethernet252,str-aos7710-09,Ethernet 1/32,100000,1744,Access
str-aos7710-11,Ethernet 1/19,str-aos7710-10,Ethernet 1/25,100000,1681-1712,Trunk
str-aos7710-11,Ethernet 1/21,str-aos7710-09,Ethernet 1/25,100000,1713-1744,Trunk

as7816-64x-3,Ethernet0,str-aos7710-43,Ethernet 1/1,100000,3289,Access
as7816-64x-3,Ethernet4,str-aos7710-43,Ethernet 1/2,100000,3290,Access
as7816-64x-3,Ethernet8,str-aos7710-43,Ethernet 1/3,100000,3291,Access
as7816-64x-3,Ethernet12,str-aos7710-43,Ethernet 1/4,100000,3292,Access
as7816-64x-3,Ethernet16,str-aos7710-43,Ethernet 1/5,100000,3293,Access
as7816-64x-3,Ethernet20,str-aos7710-43,Ethernet 1/6,100000,3294,Access
as7816-64x-3,Ethernet24,str-aos7710-43,Ethernet 1/7,100000,3295,Access
as7816-64x-3,Ethernet28,str-aos7710-43,Ethernet 1/8,100000,3296,Access
as7816-64x-3,Ethernet32,str-aos7710-43,Ethernet 1/9,100000,3297,Access
as7816-64x-3,Ethernet36,str-aos7710-43,Ethernet 1/10,100000,3298,Access
as7816-64x-3,Ethernet40,str-aos7710-43,Ethernet 1/11,100000,3299,Access
as7816-64x-3,Ethernet44,str-aos7710-43,Ethernet 1/12,100000,3300,Access
as7816-64x-3,Ethernet48,str-aos7710-43,Ethernet 1/13,100000,3301,Access
as7816-64x-3,Ethernet52,str-aos7710-43,Ethernet 1/14,100000,3302,Access
as7816-64x-3,Ethernet56,str-aos7710-43,Ethernet 1/15,100000,3303,Access
as7816-64x-3,Ethernet60,str-aos7710-43,Ethernet 1/16,100000,3304,Access
as7816-64x-3,Ethernet64,str-aos7710-43,Ethernet 1/17,100000,3305,Access
as7816-64x-3,Ethernet68,str-aos7710-43,Ethernet 1/18,100000,3306,Access
as7816-64x-3,Ethernet72,str-aos7710-43,Ethernet 1/19,100000,3307,Access
as7816-64x-3,Ethernet76,str-aos7710-43,Ethernet 1/20,100000,3308,Access
as7816-64x-3,Ethernet80,str-aos7710-43,Ethernet 1/21,100000,3309,Access
as7816-64x-3,Ethernet84,str-aos7710-43,Ethernet 1/22,100000,3310,Access
as7816-64x-3,Ethernet88,str-aos7710-43,Ethernet 1/23,100000,3311,Access
as7816-64x-3,Ethernet92,str-aos7710-43,Ethernet 1/24,100000,3312,Access
as7816-64x-3,Ethernet96,str-aos7710-40,Ethernet 1/11,100000,3313,Access
as7816-64x-3,Ethernet100,str-aos7710-43,Ethernet 1/26,100000,3314,Access
as7816-64x-3,Ethernet104,str-aos7710-43,Ethernet 1/27,100000,3315,Access
as7816-64x-3,Ethernet108,str-aos7710-43,Ethernet 1/28,100000,3316,Access
as7816-64x-3,Ethernet112,str-aos7710-43,Ethernet 1/29,100000,3317,Access
as7816-64x-3,Ethernet116,str-aos7710-43,Ethernet 1/30,100000,3318,Access
as7816-64x-3,Ethernet120,str-aos7710-43,Ethernet 1/31,100000,3319,Access
as7816-64x-3,Ethernet124,str-aos7710-43,Ethernet 1/32,100000,3320,Access
as7816-64x-3,Ethernet128,str-aos7710-44,Ethernet 1/1,100000,3321,Access
as7816-64x-3,Ethernet132,str-aos7710-44,Ethernet 1/2,100000,3322,Access
as7816-64x-3,Ethernet136,str-aos7710-44,Ethernet 1/3,100000,3323,Access
as7816-64x-3,Ethernet140,str-aos7710-44,Ethernet 1/4,100000,3324,Access
as7816-64x-3,Ethernet144,str-aos7710-44,Ethernet 1/5,100000,3325,Access
as7816-64x-3,Ethernet148,str-aos7710-44,Ethernet 1/6,100000,3326,Access
as7816-64x-3,Ethernet152,str-aos7710-44,Ethernet 1/7,100000,3327,Access
as7816-64x-3,Ethernet156,str-aos7710-44,Ethernet 1/8,100000,3328,Access
as7816-64x-3,Ethernet160,str-aos7710-44,Ethernet 1/9,100000,3329,Access
as7816-64x-3,Ethernet164,str-aos7710-44,Ethernet 1/10,100000,3330,Access
as7816-64x-3,Ethernet168,str-aos7710-44,Ethernet 1/11,100000,3331,Access
as7816-64x-3,Ethernet172,str-aos7710-44,Ethernet 1/12,100000,3332,Access
as7816-64x-3,Ethernet176,str-aos7710-44,Ethernet 1/13,100000,3333,Access
as7816-64x-3,Ethernet180,str-aos7710-44,Ethernet 1/14,100000,3334,Access
as7816-64x-3,Ethernet184,str-aos7710-44,Ethernet 1/15,100000,3335,Access
as7816-64x-3,Ethernet188,str-aos7710-44,Ethernet 1/16,100000,3336,Access
as7816-64x-3,Ethernet192,str-aos7710-44,Ethernet 1/17,100000,3337,Access
as7816-64x-3,Ethernet196,str-aos7710-44,Ethernet 1/18,100000,3338,Access
as7816-64x-3,Ethernet200,str-aos7710-44,Ethernet 1/19,100000,3339,Access
as7816-64x-3,Ethernet204,str-aos7710-44,Ethernet 1/20,100000,3340,Access
as7816-64x-3,Ethernet208,str-aos7710-44,Ethernet 1/21,100000,3341,Access
as7816-64x-3,Ethernet212,str-aos7710-44,Ethernet 1/22,100000,3342,Access
as7816-64x-3,Ethernet216,str-aos7710-44,Ethernet 1/23,100000,3343,Access
as7816-64x-3,Ethernet220,str-aos7710-44,Ethernet 1/24,100000,3344,Access
as7816-64x-3,Ethernet224,str-aos7710-40,Ethernet 1/13,100000,3345,Access
as7816-64x-3,Ethernet228,str-aos7710-44,Ethernet 1/26,100000,3346,Access
as7816-64x-3,Ethernet232,str-aos7710-44,Ethernet 1/27,100000,3347,Access
as7816-64x-3,Ethernet236,str-aos7710-44,Ethernet 1/28,100000,3348,Access
as7816-64x-3,Ethernet240,str-aos7710-44,Ethernet 1/29,100000,3349,Access
as7816-64x-3,Ethernet244,str-aos7710-44,Ethernet 1/30,100000,3350,Access
as7816-64x-3,Ethernet248,str-aos7710-44,Ethernet 1/31,100000,3351,Access
as7816-64x-3,Ethernet252,str-aos7710-44,Ethernet 1/32,100000,3352,Access
str-aos7710-40,Ethernet 1/12,str-aos7710-43,Ethernet 1/25,100000,3289-3320,Trunk
str-aos7710-40,Ethernet 1/14,str-aos7710-44,Ethernet 1/25,100000,3321-3352,Trunk

as7326-56x,Ethernet0,str-aos7710-08,Ethernet 1/33,25000,2001,Access
